cell_name	near%	mitotic%	farAvg	repli score	G1S.Score	G2M.Score
GasaE751001	0.5440928536938447	0.3054945311285856	0.2626318420791728	0.7060826164701006	0.6067465430872788	0.19714818755820218
GasaE751002	0.7778689442568193	0.11165894064436932	0.4369265487940003	0.802917663987291	0.20742903516287203	0.572522264588577
GasaE751003	0.8493075129208424	0.11814032539436786	0.33185709950971576	0.5964485743652721	0.23415237131704744	0.5066783103048729
GasaE751004	0.6663350728366276	0.628004100306499	0.11444529105647658	0.5396898007167981	0.33030955320940125	0.17499897480176796
GasaE751005	0.4006039944417059	0.3670401726386572	0.23349981013719276	0.42953997604844446	0.5636342860388094	0.3207450516885745
GasaE751006	0.8697527946790393	0.05954206798167255	0.40158571865571435	0.6855048544164974	0.26725856357722516	0.3166432044761118
GasaE751007	0.3744849245549525	0.388837097393922	0.2395733728155642	0.4620982213089625	0.6729318014820804	0.2956020340058959
GasaE751008	0.5833492506987523	0.24500962782633345	0.372393886994684	0.6969181068388544	0.7021691577376843	0.3166476348598425
GasaE751009	0.890974535842407	0.06939260621882512	0.3678301153467459	0.8083742159594316	0.2263884195274972	0.30029267918630137
GasaE751010	0.9101342390309985	0.07471175262300545	0.3566221857515124	0.5274690975632761	0.3664192302755622	0.3629477975804091
GasaE751011	0.4894269027800291	0.3358774359641279	0.2310892477492236	0.43240523994487745	0.6676152092067864	0.32077026327192587
GasaE751012	0.6210553891697165	0.21734978602458038	0.38263858160824626	0.5267697504781891	0.7613595699561924	0.25313522123531446
GasaE751013	0.3929918199279735	0.4311848325523928	0.19994878915031097	0.49767661490106513	0.5030541698104369	0.3204239814749737
GasaE751014	0.6858856450943226	0.19323587309216134	0.3434510486799396	0.5159690590013518	0.6597167318006727	0.21281562526968106
GasaE751015	0.886394702743238	0.18210957527368032	0.25304922290686993	0.5593155609349316	0.41260210315130474	0.22249438211909475
GasaE751016	0.8644369877502556	0.06724200006235553	0.3923653472163613	0.7834967942613311	0.21195287633014492	0.3709867742567007
GasaE751017	0.6792007077608699	0.48744786464289724	0.15494631250228882	0.5252363724150322	0.343651916764353	0.2502506887042933
GasaE751018	0.8001460866771634	0.1381468844971271	0.37341522324213183	0.7261653852770906	0.3648747519868105	0.3229749449971436
GasaE751019	0.7502813842607402	0.16188212240884597	0.4121177681495457	0.67269808636883	0.20961747086534113	0.4276532863054441
GasaE751020	0.6700323052795919	0.1620410182370684	0.4872990093317846	0.6947752541086788	0.2816505145460322	0.4454973139912346
GasaE751021	0.7339728970554866	0.17543231652704722	0.3477350982498899	0.5859874739048073	0.26470787942575136	0.42024305900201
GasaE751022	0.5395109309556585	0.28428243729519104	0.2822185271180897	0.4318811901821	0.6274320963765608	0.17720556275080668
GasaE751023	0.553264283386197	0.20282704169593024	0.42492563615192136	0.42158950508774296	0.5888524362413364	0.2038147676053018
GasaE751024	0.8196871752923219	0.10802093903821419	0.39913962653303714	0.7485853201500776	0.1927322170737956	0.5628872590478267
GasaE751025	0.8424654466047331	0.08446869023418041	0.34148114518826855	0.8374493527000899	0.2854371289189709	0.3157498861701021
GasaE751026	0.7170528875817729	0.16870451204917425	0.395316020154199	0.7343407811084681	0.2891240919671528	0.4380525176585365
GasaE751027	0.7159264925592029	0.11928764476172155	0.5505565019933699	0.8478949108437793	0.21638308947440762	0.3015490891519238
GasaE751028	0.4096743767996982	0.39677631827907633	0.2255505253811552	0.41485863014809143	0.7795567487109105	0.15666969480786322
GasaE751029	0.5441049045300862	0.2399162258839967	0.32548501542173036	0.4394068433118491	0.7962950661867512	0.25242687354071014
GasaE751030	0.4707219557648431	0.3431014328946218	0.2231945288457308	0.4225547686845022	0.7822201679997052	0.21188772120921606
GasaE751031	0.6928859182636984	0.1733095304921315	0.45457350625061566	0.5260389559911537	0.33314859602454044	0.4191723567508701
GasaE751033	0.8829655241749934	0.09721820541788428	0.35098331654675796	0.6254641854596985	0.2470500871970268	0.4375669645956416
GasaE751034	0.7053791778962956	0.21150105652025852	0.3319925975881478	0.7799808938839059	0.4236774245165613	0.42580613063374356
GasaE751035	0.7589534104634159	0.16498351448235626	0.2849378057302956	0.6484405093463661	0.7169244105425561	0.23952960837087653
GasaE751036	0.8367444466642494	0.14221047985999097	0.3237421581093225	0.5330975159269734	0.28577761651808425	0.3092527427649182
GasaE751037	0.6060895011034468	0.2118772400135046	0.30637860339528467	0.4598817941583683	0.7164840631225757	0.22847347571319807
GasaE751039	0.37739070858104995	0.5076202182952825	0.1517785687570464	0.43006676001282107	0.4437526737001738	0.2813864287720682
GasaE751040	0.5833127690280392	0.20113228289467744	0.45110268362363615	0.713812693675512	0.33131584723307655	0.27515358550231805
GasaE751041	0.6659770120444068	0.16084320654493472	0.4527488382186188	0.8874349916377007	0.3023213071468867	0.34222382857796313
GasaE751042	0.5780038097478349	0.28836050813070047	0.24097542732476315	0.5471099742202625	0.5999404149746286	0.15530478240314932
GasaE751043	0.7331682727159093	0.14925364483937453	0.47157803694467526	0.6701377212177968	0.13939621330095614	0.3313670155512368
GasaE751044	0.7074715999508513	0.21593346760692594	0.274841468878398	0.8396963113478119	0.5806552040865292	0.46073955552487617
GasaE751045	0.822232869593286	0.09278692283293416	0.3917680468951408	0.8125022634323869	0.1503364393662936	0.37236208345850574
GasaE751046	0.44153485332119546	0.344820456804817	0.24627816176289827	0.44884294456022134	0.5668838473335007	0.14741924457388725
GasaE751047	0.8834390196483239	0.08074553086674763	0.42876089828980235	0.5200733573949301	0.37134288518313513	0.49963925098717077
GasaE751048	0.7928999281533812	0.12383307088354045	0.4176886474338938	0.8015211586039293	0.3011783912754872	0.27029504538424504
GasaE751049	0.8450566340603568	0.08627332237753216	0.3149346950896046	0.8078769758652432	0.2803686782799931	0.4453147140263751
GasaE751050	0.7102018448563553	0.13018746436004075	0.4957713148398728	0.544239002104437	0.556199075900996	0.28779980435489355
GasaE751051	0.5622698073422167	0.2350503795790992	0.3020183746670966	0.480180031059363	0.6195073026532372	0.24207983852327086
GasaE751052	0.5711555622012702	0.29243629642055535	0.2913407895756278	0.513212717095917	0.6828146750622197	0.1397623398121145
GasaE751053	0.4473338295783069	0.2945033957719634	0.34515191221089414	0.38447102956752943	0.6061770118774019	0.17723973709542046
GasaE751054	0.8619535954497555	0.07724510430122555	0.3422603177938227	0.4931180848862135	0.47312251896343327	0.5262923678316319
GasaE751055	0.6962413672445763	0.166757001371522	0.5443623674395318	0.6241177946817414	0.39120056658547064	0.2717030947455031
GasaE751056	0.7791646148790301	0.12136182627411274	0.396422680132517	0.7730037957226645	0.3369140450430164	0.19057904698275702
GasaE751057	0.7483292742488896	0.16049739971725646	0.3033282530982011	0.6628474790888672	0.40242836968127965	0.44838486974992964
GasaE751058	0.7841608554309243	0.1141272827288039	0.4485192246662515	0.7778695988859774	0.14565592618744871	0.4027048499472672
GasaE751059	0.9008561527602368	0.04708614436203107	0.44673232704579624	0.7016530484674836	0.26324146429826845	0.4423967442538175
GasaE751060	0.5036164542023611	0.24775445283151104	0.35117735188592136	0.45162595803575567	0.49976211220964817	0.1346318718260144
GasaE751061	0.742352276666026	0.12419616515007764	0.5139231905861963	0.5787138399754034	0.4558429243181458	0.25196249188212405
GasaE751062	0.807655849992723	0.10679637303170403	0.48038013457675743	0.5510618598446654	0.0376875285474369	0.49886582900754756
GasaE751063	0.4453721077665882	0.3768869004409988	0.21404461105960002	0.5485567244373895	0.7107271565103809	0.20774712008567509
GasaE751064	0.5947249595136824	0.2522793151442588	0.33518192982832073	0.7364102523106313	0.49645361013711226	0.32211245778945663
GasaE751065	0.41575262002352975	0.3613992314155615	0.223133539655362	0.4573578656255727	0.3523631596326288	0.3013918777289138
GasaE751066	0.9307332610222003	0.04648266297556511	0.3009254836985049	0.6651160281732329	0.1113738156846765	0.372410114325513
GasaE751067	0.6902358984987351	0.15994229761737555	0.4337324723987819	0.8251398586030148	0.23850015687841725	0.37125115503145
GasaE751068	0.42730679129523785	0.4269181161684915	0.1945278179389692	0.4381209926842963	0.8183159303590396	0.22854937164503547
GasaE751069	0.6791635475308118	0.16311755082489032	0.4122655518913335	0.567477014164617	0.47096285935965765	0.15696477407406076
GasaE751070	0.6739202884438951	0.19037537898297863	0.38763251021434175	0.5374567577935353	0.6880036533579105	0.25202524883214455
GasaE751071	0.4462315888401772	0.3678567945624367	0.2185741486727533	0.44904386672547725	0.7119906236692644	0.15794037419904136
GasaE751072	0.7412995275913009	0.15049398664972718	0.4388278613666947	0.6068442153992462	0.6180476161151269	0.26314809603825356
GasaE751073	0.859856037658765	0.09357887329427228	0.37068812755353386	0.6042313689613827	0.3595428938699156	0.2837143231901916
GasaE751074	0.7473894533676737	0.161713799179446	0.3002481265136431	0.526071537879618	0.8198803430208613	0.259995453910798
GasaE751075	0.7072490999368957	0.16808019749931774	0.6183804583910775	0.6033282507243521	0.44195694960067533	0.20781173547325552
GasaE751076	0.6994497536639366	0.16697279829970924	0.2929218677082024	0.4189406747867974	0.7547627126793541	0.1829974781575746
GasaE751077	0.6056367819571011	0.22090248358219827	0.3808758082390131	0.44889876085132663	0.6785257548420026	0.2852158093264101
GasaE751078	0.6498929175345425	0.23577429949863898	0.3360134740996559	0.6396461835562288	0.6677907289395137	0.3748999944621248
GasaE751079	0.6295388851454508	0.18790861819416027	0.4519292777865078	0.8205377561388361	0.24287174026213648	0.340522629768795
GasaE751080	0.6759128084859278	0.1715212476915609	0.4280051928115829	0.8784602284400772	0.325629211989859	0.4740908761902719
GasaE751081	0.8266775951864366	0.12378413431215674	0.3261193538756736	0.6190564724194514	0.3291295973769227	0.4782931480223861
GasaE751082	0.6647424576300868	0.16346753264451863	0.42239241971147545	0.5294582897376016	0.7072666415054336	0.14923360453460627
GasaE751083	0.7501262504853825	0.14368879853351807	0.42052301642919687	0.5916206979474465	0.3839336175346415	0.31376592261421765
